"chr","start","end","idxStart","idxEnd","cluster","n","width","invdensity","areaStat","maxStat","meanDiff","group1.mean","group2.mean","tstat.sd","direction"
"Ca5",40140896,40142012,3558122,3558245,127419,124,1117,9.00806451612903,-3348.10322916878,-9.77671930861733,-0.850026351730187,0.109629364139792,0.95965571586998,0.0302291999018081,"hypo"
"scaffold882",625788,627177,6613618,6613697,225641,80,1390,17.375,-2834.93680112994,-9.12826162536785,-0.7377876306876,0.114268665589671,0.852056296277271,0.0219088509234659,"hypo"
"Ca1",29211988,29214682,495296,495429,17734,134,2695,20.1119402985075,-2735.86890770218,-9.62689072303801,-0.637057084692461,0.0263795977502607,0.663436682442721,0.031380824259916,"hypo"
"scaffold336",410385,411270,6305568,6305634,217785,67,886,13.2238805970149,-2730.43639314198,-9.4389458049668,-0.839611811423213,0.0769165796025043,0.916528391025717,0.0209046295478565,"hypo"
"Ca2",4206901,4208206,916812,916911,31626,100,1306,13.06,-2393.49226824718,-17.1451587210178,-0.836435116781111,0.030766201377956,0.867201318159067,0.0356486085232407,"hypo"
"Ca4",17399909,17401906,2402371,2402496,86129,126,1998,15.8571428571429,-2383.5540873072,-9.30835000974686,-0.589657590772311,0.3070730992453,0.896730690017611,0.0294439098156082,"hypo"
"scaffold314",158777,161185,6287516,6287625,217207,110,2409,21.9,-2088.68537733538,-12.0625039008349,-0.784837865416039,0.155844578973577,0.940682444389616,0.0380304978360639,"hypo"
"scaffold882",597089,599010,6612958,6613046,225627,89,1922,21.5955056179775,-2087.4368335558,-11.8861960076989,-0.624041300694907,0.192810141857037,0.816851442551944,0.0271723746770351,"hypo"
"Ca4",47972002,47975992,2880544,2880642,104464,99,3991,40.3131313131313,-2042.74867867809,-9.12735339656416,-0.844339142565456,0.0691230440761782,0.913462186641634,0.0479278344616591,"hypo"
"Ca4",22959296,22962152,2492443,2492525,89499,83,2857,34.421686746988,-1979.93879773098,-9.65431488434482,-0.847610812713335,0.0826160386924388,0.930226851405774,0.0347050939448974,"hypo"
"Ca4",27951781,27954246,2579627,2579714,92538,88,2466,28.0227272727273,-1894.08737642301,-9.3289511302413,-0.822129776460716,0.0739532801268323,0.896083056587548,0.0363114981532066,"hypo"
"scaffold128",581010,581637,6038977,6039052,209881,76,628,8.26315789473684,1841.46285302029,27.6789507896653,0.78403960851681,0.918535880388355,0.134496271871545,0.0326573782195311,"hyper"
"scaffold93",617629,619051,6655803,6655856,226753,54,1423,26.3518518518519,-1834.0417729486,-9.31003027375176,-0.569377800540055,0.35359155839208,0.922969358932135,0.0169915092988827,"hypo"
"Ca3",37688664,37690297,2072328,2072413,73532,86,1634,19,-1807.90606521227,-9.25127337017912,-0.65356385634256,0.135262165570172,0.788826021912732,0.0307746933241102,"hypo"
"Ca3",36732622,36733540,2056111,2056183,72887,73,919,12.5890410958904,1756.35539360523,31.6024913050602,0.776097959058716,0.860414095963049,0.0843161369043331,0.0310540227925915,"hyper"
"scaffold451",153314,155284,6384376,6384440,220047,65,1971,30.3230769230769,-1754.32570033839,-13.2093760641247,-0.818116315100573,0.124019854104509,0.942136169205082,0.0303517961054954,"hypo"
"Ca4",22316008,22317559,2481265,2481330,89130,66,1552,23.5151515151515,-1711.77504767223,-12.9130370945331,-0.839818617041895,0.0183399409184682,0.858158557960363,0.0314316360497728,"hypo"
"scaffold314",254675,255909,6289164,6289239,217266,76,1235,16.25,-1646.75388543803,-9.15897286824245,-0.764356495765521,0.161531457891092,0.925887953656613,0.0319250314902534,"hypo"
"Ca4",17378162,17379303,2401947,2402004,86116,58,1142,19.6896551724138,-1615.39557315034,-22.7654044368965,-0.826914396371215,0.0379280182407456,0.86484241461196,0.0308756160980814,"hypo"
"Ca4",23153035,23154428,2494911,2494980,89621,70,1394,19.9142857142857,-1603.87318140994,-9.96103406995475,-0.675467395604737,0.293001838233971,0.968469233838709,0.0306034558764857,"hypo"
"Ca2",10960868,10962853,1026673,1026754,35628,82,1986,24.219512195122,1587.8937436568,22.3621345008577,0.655746594576128,0.910269607995421,0.254523013419293,0.0342890904168165,"hyper"
"scaffold2617",49914,51162,6221815,6221872,215517,58,1249,21.5344827586207,-1573.51054837244,-16.5030525674138,-0.850572790802419,0.0701756783312528,0.920748469133671,0.0314433162388092,"hypo"
"scaffold882",310151,311534,6607706,6607767,225495,62,1384,22.3225806451613,1538.96100365271,34.6357049043853,0.580982270420303,0.915040303652245,0.334058033231942,0.022419087323455,"hyper"
"Ca3",12228105,12229562,1684184,1684250,57914,67,1458,21.7611940298507,-1501.3414072561,-9.53853343437625,-0.676980101550177,0.120439995816933,0.79742009736711,0.0299942797554096,"hypo"
"Ca4",28089583,28091336,2582001,2582053,92626,53,1754,33.0943396226415,-1352.58056721961,-10.0748528115358,-0.788807458997679,0.0781827129410028,0.866990171938681,0.0302923676278259,"hypo"
"Ca3",27205163,27205716,1907593,1907650,67155,58,554,9.55172413793103,1348.49153337271,27.4723985889564,0.795735484115689,0.82344659787338,0.0277111137576903,0.0310297858181161,"hyper"
"Ca3",29353779,29354214,1939409,1939474,68525,66,436,6.60606060606061,1345.45760514629,28.2704871031789,0.843102623527807,0.895125836699296,0.0520232131714888,0.0374658279641853,"hyper"
